type,x,y,size,label
sound,0.5848684210526316,0.46438127090301,1,piano1_Juliette_5
sound,0.28289473684210525,0.6357859531772575,1,piano1_Juliette_3
sound,0.40592105263157896,0.43929765886287625,1,piano1_Juliette_7
sound,0.4453947368421053,0.5465997770345596,1,guitare1_Arthur1
sound,0.26973684210526316,0.41142697881828316,1,piano1_Juliette_1
sound,0.17763157894736842,0.5020066889632107,1,piano1_Juliette_2
sound,0.5578947368421052,0.5633221850613155,1,piano1_Juliette_4
sound,0.5190789473684211,0.428149386845039,1,piano1_Juliette_6
sound,0.5310897435897436,0.18523489932885912,1,piano2_Helene_1
sound,0.4855263157894737,0.4811036789297659,1,piano2_Helene_2
sound,0.35789473684210527,0.5716833890746934,1,piano2_Helene_3
sound,0.6098824786324787,0.32505592841163317,1,piano2_Helene_4
sound,0.6263157894736842,0.4128205128205128,1,piano2_Helene_5
sound,0.4144736842105263,0.3222408026755853,1,piano2_Helene_6
sound,0.645940170940171,0.2299776286353468,1,piano2_Helene_7
